datetime,ticker,price,signal,pnl
2024-02-16 09:30:00,MSFT,406.88,0.0,0.0
2024-02-16 09:35:00,MSFT,405.98,0.0,-0.0
2024-02-16 09:40:00,MSFT,405.13,0.0,-0.0
2024-02-16 09:45:00,MSFT,405.02,0.0,-0.0
2024-02-16 09:50:00,MSFT,403.66,0.0,-0.0
2024-02-16 09:55:00,MSFT,404.68,0.0,0.0
2024-02-16 10:00:00,MSFT,404.57,0.0,-0.0
2024-02-16 10:05:00,MSFT,404.36,0.0,-0.0
2024-02-16 10:10:00,MSFT,404.39,0.0,0.0
2024-02-16 10:15:00,MSFT,405.18,0.0,0.0
2024-02-16 10:20:00,MSFT,404.63,0.0,-0.0
2024-02-16 10:25:00,MSFT,404.74,0.0,0.0
2024-02-16 10:30:00,MSFT,404.36,0.0,-0.0
2024-02-16 10:35:00,MSFT,405.63,0.0,0.0
2024-02-16 10:40:00,MSFT,405.17,0.0,-0.0
2024-02-16 10:45:00,MSFT,405.1,0.0,-0.0
2024-02-16 10:50:00,MSFT,405.56,0.0,0.0
2024-02-16 10:55:00,MSFT,405.66,0.0,0.0
2024-02-16 11:00:00,MSFT,405.9,0.0,0.0
2024-02-16 11:05:00,MSFT,406.0,0.0,0.0
2024-02-16 11:10:00,MSFT,406.47,0.0,0.0
2024-02-16 11:15:00,MSFT,406.05,0.0,-0.0
2024-02-16 11:20:00,MSFT,405.95,0.0,-0.0
2024-02-16 11:25:00,MSFT,405.74,0.0,-0.0
2024-02-16 11:30:00,MSFT,405.69,0.0,-0.0
2024-02-16 11:35:00,MSFT,405.31,0.0,-0.0
2024-02-16 11:40:00,MSFT,405.58,0.0,0.0
2024-02-16 11:45:00,MSFT,405.43,0.0,-0.0
2024-02-16 11:50:00,MSFT,405.85,0.0,0.0
2024-02-16 11:55:00,MSFT,405.99,0.0,0.0
2024-02-16 12:00:00,MSFT,406.05,0.0,0.0
2024-02-16 12:05:00,MSFT,405.76,0.0,-0.0
2024-02-16 12:10:00,MSFT,405.63,0.0,-0.0
2024-02-16 12:15:00,MSFT,405.79,0.0,0.0
2024-02-16 12:20:00,MSFT,405.99,0.0,0.0
2024-02-16 12:25:00,MSFT,406.07,0.0,0.0
2024-02-16 12:30:00,MSFT,405.88,0.0,-0.0
2024-02-16 12:35:00,MSFT,405.75,0.0,-0.0
2024-02-16 12:40:00,MSFT,405.66,0.0,-0.0
2024-02-16 12:45:00,MSFT,405.75,0.0,0.0
2024-02-16 12:50:00,MSFT,405.67,0.0,-0.0
2024-02-16 12:55:00,MSFT,405.73,0.0,0.0
2024-02-16 13:00:00,MSFT,405.18,0.0,-0.0
2024-02-16 13:05:00,MSFT,405.13,0.0,-0.0
2024-02-16 13:10:00,MSFT,405.07,0.0,-0.0
2024-02-16 13:15:00,MSFT,404.81,0.0,-0.0
2024-02-16 13:20:00,MSFT,405.38,0.0,0.0
2024-02-16 13:25:00,MSFT,405.12,0.0,-0.0
2024-02-16 13:30:00,MSFT,405.27,0.0,0.0
